name,code,credit_hour,ETCS
Introduction to Computer Science,CS101,3,5
Data Structures and Algorithms,CS102,4,6
Database Systems,CS201,3,5
Computer Networks,CS202,3,5
Operating Systems,CS301,4,6
Software Engineering,CS302,3,5
Artificial Intelligence,CS401,3,5
Machine Learning,CS402,4,6
Cybersecurity,CS403,3,5
Mobile Application Development,CS404,3,5
Human-Computer Interaction,CS405,3,5
Web Development,CS406,3,5
Cloud Computing,CS407,4,6
Big Data Analytics,CS408,4,6
Computer Vision,CS409,3,5
Introduction to Robotics,CS410,3,5
Theory of Computation,CS411,3,5
Compiler Design,CS412,4,6
Blockchain Technology,CS413,3,5
Parallel and Distributed Computing,CS414,4,6
Digital Signal Processing,CS415,3,5
Game Development,CS416,3,5
Introduction to Quantum Computing,CS417,3,5
Deep Learning,CS418,4,6
Software Testing and Quality Assurance,CS419,3,5
Natural Language Processing,CS420,4,6
Computer Graphics,CS421,3,5
Ethical Hacking and Penetration Testing,CS422,3,5
E-Commerce Systems,CS423,3,5
Augmented and Virtual Reality,CS424,3,5
IoT Systems and Applications,CS425,4,6
Embedded Systems,CS426,4,6
Mathematics for Computer Science,CS427,3,5
Discrete Structures,CS428,3,5
Numerical Analysis,CS429,3,5
Introduction to Bioinformatics,CS430,3,5
